"","SPECIES_CD","SCIENTIFIC_NAME","COMMON_NAME","HAWAIIAN_LOCAL_NAME","FAMILY_NAME","COMMON_FAMILY","SPECIES_TYPE_CD","SPECIES_TYPE_CD2","SPECIES_TYPE_NAME","MIN_FL_CM","MAX_FL_CM","A","B","GCF","CM_1LB","NOTES","SEQUENCE_NR","CREATE_DTM","CREATED_BY","LAST_MOD_DTM","LAST_MOD_BY"
"49","TORA","Torquigener randalli","Randall's puffer",NA,"Tetraodontidae","Puffers","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000188",NA,NA,NA,NA
"50","TRIG","Balistidae","Triggerfish sp.","trigger fish","Balistidae","Triggerfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000189",NA,NA,NA,NA
"51","TRIG","Balistid sp.","Triggerfish sp.","trigger fish","Balistidae","Triggerfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000190",NA,NA,NA,NA
"52","TRIG","Balistid sp.","Triggerfish sp.","Triggerfish","Balistidae","Triggerfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000191",NA,NA,NA,NA
"53","TRMY","Trachinocephalus myhops ","Lizardfish","Lizardfish","Synodontidae","Lizardfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000192",NA,NA,NA,NA
"54","TROB","Triaenodon obesus","Whitetip Reef Shark","Whitetip Reef Shark","Carcharhinidae","Requiem sharks","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000193",NA,NA,NA,NA
"55","TROB","Triaenodon obesus","Whitetip Reef Shark","white tip","Carcharhinidae","Requiem sharks","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000194",NA,NA,NA,NA
"56","WRAS","Labrid","Wrasse sp.",NA,"Labridae","Wrasses","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000195",NA,NA,NA,NA
"57","XACA","Xanthichthys caeruleolineatus","Bluelined triggerfish","Bluelined triggerfish","Balistidae","Triggerfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000196",NA,NA,NA,NA
"58","XAME","Xanthichthys mento","Redtail triggerfish",NA,"Balistidae","Triggerfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000197",NA,NA,NA,NA
"59","ZACO","Zanclus cornutus","Moorish idol",NA,"Zanclidae","Moorish idols","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000198",NA,NA,NA,NA
"60","ZAKE","Zalanthias kelloggi","Eastern flower porgy",NA,"Serranidae","Seabasses","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000199",NA,NA,NA,NA
"61","NESC","Neomonachus schauinslandi","Hawaiian Monk Seal","Hawaiian Monk Seal","Phocidae","Seals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000200",NA,NA,NA,NA
"62","CASC","Caprodon schlegelii","Sunrise Perch","Schlegel's Grouper","Serranidae","Seabasses","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000201",NA,NA,NA,NA
"63","SCRU","Scarus rubroviolaceus","Ember Parrotfish",NA,"Scaridae","Parrotfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000202",NA,NA,NA,NA
"64","BAPO","Balistes polylepis","Finescale triggerfish","Triggerfish","Balistidae","Triggerfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000203",NA,NA,NA,NA
"65","ACTH","Acanthurus thompsoni","Thompson's surgeonfish",NA,"Acanthuridae","Surgeonfishes","OTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"00000204",NA,NA,NA,NA
